Dönem,Dağıtım kanalı,Müşteri Hesap Grubu,Müş.Hesap Grubu Tnm,Sipariş Veren,Sipariş Veren İsim,Malı Teslim Alan Kodu,Malı Teslim Alan Adı,Ülke anahtarı,Kent,Semt,Fatura Kalemi,Malzeme,Malzeme Tanımı,Faturalama Miktar,Satış belgesi türü,Sipariş Türü Tanımı,Versiyon,Satış belgesi,Teslimat türü,Teslimat Türü Tanımı,Teslimat Numarası,Nakliye numarası,İrsaliye Numarası,Mal çıkış Tarihi,Fatura Türü,Fatura Türü Tanımı,Fatura Tarihi,Faturalama Tipi,Fatura Numarası,Referans No,Belge para birimi,Birim Fiyat,Eleks Birim Fiyat,Net değer,Toplam Tutar,Vergi tutarı,TRY Birim Fiyat,TRY Toplam Tutar,EUR Birim Fiyat,EUR Toplam Tutar,USD Birim Fiyat,USD Toplam Tutar,GBP Birim Fiyat,GBP Toplam Tutar,Vade Gün,Satış Vade Günü,Satış Vade Günü,Değerleme sınıfı,Mal Grubu,Malzeme Kod 1,Malzeme Kod 2,Malzeme Kod 3,Malzeme Kod 4,Malzeme Kod 5,Malzeme Türü,Fatura Koşul Kodu,Ödeme koşulu,Koşul kodu,Fiyatlanadırma Tarihi,Kur tipi,Eur Kur,Usd Kur,Gbp Kur,Sipariş Nedeni,Satış bürosu,Belge koşulu no.,SA sipariş numarası,Incoterms,Incoterms (bölüm 2),Ödeyen,Ödeyenin İsmi,Ödeyen Müşteri İl Kodu,Ödeyen Müşteri İlçe Kodu,Ara toplam 4,Ad,Ad 2,Kalem,SD belgesi tipi,Toplam Tutar,Sipariş Veren,Sipariş Veren Ad,Sip.Veren.Kent,Sip.Veren.Ülke,Sip.Veren.Bölge,Sip.Veren.Bölge Adı,Standart fiyat,Std. Fiyat Toplam,Fiili Fiyat,Fiili Fiyat Toplam
202304,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,30,3035TXS110H,ETAJERLİ LAVABO (46x80),728.000,Z100,Serel Yİ Satış,,14254,ZT01,Serel Yurtiçi Tesl.,80198328,16149,,4/3/2023,Z100,Serel Yİ Satış,4/3/2023,L,90661260,SR12023000001147,TRY,588.00,0.00,428064.00,428064.00,77051.52,588.00,428064.00,28.21,20535.57,30.70,22349.48,24.85,18092.15,38525760,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014254,2/6/2023,M,,,,,1099,0001212175,4500007786,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,30,M,505115.52,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,488.75,355810.00,487.16,354652.48
202304,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,20,3037TXS110H,ETAJERLİ LAVABO (46x100),144.000,Z100,Serel Yİ Satış,,14254,ZT01,Serel Yurtiçi Tesl.,80198329,16150,,4/3/2023,Z100,Serel Yİ Satış,4/3/2023,L,90661261,SR12023000001148,TRY,689.00,0.00,99216.00,99216.00,17858.88,689.00,99216.00,33.05,4759.70,35.97,5180.13,29.12,4193.37,8929440,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014254,2/6/2023,M,,,,,1099,0001212176,4500007786,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,20,M,117074.88,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,587.90,84657.60,659.74,95002.56
202304,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,30,3035TXS110H,ETAJERLİ LAVABO (46x80),84.000,Z100,Serel Yİ Satış,,14254,ZT01,Serel Yurtiçi Tesl.,80198329,16150,,4/3/2023,Z100,Serel Yİ Satış,4/3/2023,L,90661261,SR12023000001148,TRY,588.00,0.00,49392.00,49392.00,8890.56,588.00,49392.00,28.21,2369.49,30.70,2578.79,24.85,2087.56,4445280,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014254,2/6/2023,M,,,,,1099,0001212176,4500007786,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,30,M,58282.56,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,488.75,41055.00,487.16,40921.44
202304,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,40,3001TXS110H,LAVABO (46x60),200.000,Z100,Serel Yİ Satış,,14254,ZT01,Serel Yurtiçi Tesl.,80198329,16150,,4/3/2023,Z100,Serel Yİ Satış,4/3/2023,L,90661261,SR12023000001148,TRY,490.00,0.00,98000.00,98000.00,17640.00,490.00,98000.00,23.51,4701.37,25.58,5116.64,20.71,4141.98,8820000,90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,ORKA202301,Z090,0000014254,2/6/2023,M,,,,,1099,0001212176,4500007786,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,40,M,115640.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,389.67,77934.00,385.19,77038.00
202304,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,30,3037TXS110H,ETAJERLİ LAVABO (46x100),460.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80199623,16250,,4/24/2023,Z100,Serel Yİ Satış,4/24/2023,L,90665003,SR22023000000206,TRY,689.00,0.00,316940.00,316940.00,57049.20,689.00,316940.00,32.48,14941.47,35.55,16353.47,28.65,13177.50,28524600,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001220078,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,30,M,373989.20,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,587.90,270434.00,659.74,303480.40
202304,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,50,2049TXL110H,TZG. ÜSTÜ LAVABO (28x45),600.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80199623,16250,,4/24/2023,Z100,Serel Yİ Satış,4/24/2023,L,90665003,SR22023000000206,TRY,350.00,0.00,210000.00,210000.00,37800.00,350.00,210000.00,16.50,9900.01,18.06,10835.58,14.55,8731.23,18900000,90,,4350,1040041,FC,TEK,ALT,LAVABO,TEZGAH ÜSTÜ,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001220078,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,50,M,247800.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,265.86,159516.00,312.23,187338.00
202304,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,20,3001TXS110H,LAVABO (46x60),80.000,Z100,Serel Yİ Satış,,14562,ZT01,Serel Yurtiçi Tesl.,80198331,16151,,4/3/2023,Z100,Serel Yİ Satış,4/3/2023,L,90661262,SR12023000001149,TRY,490.00,0.00,39200.00,39200.00,7056.00,490.00,39200.00,23.51,1880.55,25.58,2046.66,20.71,1656.79,3528000,90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,VARDAR2023,Z090,0000014562,3/29/2023,M,,,,,,0001212177,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,20,M,46256.00,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,389.67,31173.60,385.19,30815.20
202304,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,30,NT42TDS110H,NITA ETAJERLİ LAVABO (48x80),168.000,Z100,Serel Yİ Satış,,14562,ZT01,Serel Yurtiçi Tesl.,80198331,16151,,4/3/2023,Z100,Serel Yİ Satış,4/3/2023,L,90661262,SR12023000001149,TRY,600.75,0.00,100926.00,100926.00,18166.68,600.75,100926.00,28.82,4841.74,31.37,5269.41,25.39,4265.64,9083340,90,,4350,1040041,FC,TAKIM,ORTA,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2023,Z090,0000014562,3/29/2023,M,,,,,,0001212177,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,30,M,119092.68,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,528.79,88836.72,558.17,93772.56
202304,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,40,NT30TDS110H,NITA ETAJERLİ LAVABO (48x65),240.000,Z100,Serel Yİ Satış,,14562,ZT01,Serel Yurtiçi Tesl.,80198331,16151,,4/3/2023,Z100,Serel Yİ Satış,4/3/2023,L,90661262,SR12023000001149,TRY,490.00,0.00,117600.00,117600.00,21168.00,490.00,117600.00,23.51,5641.64,25.58,6139.97,20.71,4970.37,10584000,90,,4350,1040041,FC,TAKIM,ORTA,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2023,Z090,0000014562,3/29/2023,M,,,,,,0001212177,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,40,M,138768.00,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,500.82,120196.80,495.22,118852.80
202304,43,1251,TOPLULUK DIŞI IC PIYASA,22556,Hare Prefabrik,22556,Hare Prefabrik,TR,MANİSA,Yunusemre,10,0417USS110H,ÜST. GRŞ. HELATAŞI (60x50),14.000,Z100,Serel Yİ Satış,,14594,ZT01,Serel Yurtiçi Tesl.,80198441,16162,,4/7/2023,Z100,Serel Yİ Satış,4/7/2023,L,90661693,KA32023000000003,TRY,175.00,0.00,2450.00,2450.00,441.00,175.00,2450.00,8.34,116.79,9.10,127.36,7.31,102.34,0,0,0,4350,1040041,VC,TEK,ALT,HELATAŞI,HELATAŞI,SERAMİK MAMUL,,Z000,0000014594,4/4/2023,M,,,,,,0001213274,hare2,,,22556,Hare Prefabrik,MANİSA,Yunusemre,0.00,Hare Prefabrik,,10,M,2891.00,22556,Hare Prefabrik,MANİSA,TR,45,Manisa,123.24,1725.36,415.34,5814.76
