Dönem,Dağıtım kanalı,Müşteri Hesap Grubu,Müş.Hesap Grubu Tnm,Sipariş Veren,Sipariş Veren İsim,Malı Teslim Alan Kodu,Malı Teslim Alan Adı,Ülke anahtarı,Yerleşim yeri,Mahalle,Fatura Kalemi,Malzeme,Malzeme Tanımı,Faturalama Miktar,Satış belgesi türü,Sipariş Türü Tanımı,Versiyon,Satış belgesi,Teslimat türü,Teslimat Türü Tanımı,Teslimat Numarası,Nakliye numarası,İrsaliye Numarası,Mal çıkış Tarihi,Fatura Türü,Fatura Türü Tanımı,Fatura Tarihi,Faturalama Tipi,Fatura Numarası,Referans No,Belge para birimi,Birim Fiyat,Eleks Birim Fiyat,Net değer,Toplam Tutar,Vergi tutarı,TRY Birim Fiyat,TRY Toplam Tutar,EUR Birim Fiyat,EUR Toplam Tutar,USD Birim Fiyat,USD Toplam Tutar,GBP Birim Fiyat,GBP Toplam Tutar,Vade Gün,Satış Vade Günü,Satış Vade Günü,Değerleme sınıfı,Mal Grubu,Malzeme Kod 1,Malzeme Kod 2,Malzeme Kod 3,Malzeme Kod 4,Malzeme Kod 5,Malzeme Türü,Fatura Koşul Kodu,Ödeme koşulu,Koşul kodu,Fiyatlanadırma Tarihi,Kur tipi,Eur Kur,Usd Kur,Gbp Kur,Sipariş Nedeni,Satış bürosu,Belge koşulu no.,SA sipariş numarası,Incoterms,Incoterms (bölüm 2),Ödeyen,Ödeyenin İsmi,Ödeyen Müşteri İl Kodu,Ödeyen Müşteri İlçe Kodu,Ara toplam 4,Ad,Ad 2,Kalem,SD belgesi tipi,Toplam Tutar,Sipariş Veren,Sipariş Veren Ad,Sip.Veren.Kent,Sip.Veren.Ülke,Sip.Veren.Bölge,Sip.Veren.Bölge Adı,Standart fiyat,Std. Fiyat Toplam,Fiili Fiyat,Fiili Fiyat Toplam
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,10,3001TXS110H,LAVABO (46x60),320.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80206215,16640,,7/6/2023,Z100,Serel Yİ Satış,7/6/2023,L,90679836,SR12023000002104,TRY,490.00,0.00,"156,800.00","156,800.00","28,224.00",490.00,"156,800.00",17.28,"5,530.51",18.81,"6,019.79",14.83,"4,745.58","14,112,000",90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001245574,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,10,M,"185,024.00",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,396.58,"126,905.60",384.76,"123,123.20"
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,10,3001TXS110H,LAVABO (46x60),360.000,Z100,Serel Yİ Satış,,15449,ZT01,Serel Yurtiçi Tesl.,80207649,16716,,7/18/2023,Z100,Serel Yİ Satış,7/18/2023,L,90683066,SR12023000002264,TRY,490.00,0.00,"176,400.00","176,400.00","35,280.00",490.00,"176,400.00",16.62,"5,982.34",18.67,"6,722.87",14.29,"5,144.90","15,876,000",90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,VARDAR2023,Z090,0000015449,7/17/2023,M,,,,,,0001250264,BAGNOTTİ,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,"211,680.00",21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,396.58,"142,768.80",384.76,"138,513.60"
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,TR,Manisa,YUNUSEMRE,10,3001TXS110H,LAVABO (46x60),40.000,Z100,Serel Yİ Satış,,15449,ZT01,Serel Yurtiçi Tesl.,80207894,16732,,7/20/2023,Z100,Serel Yİ Satış,7/20/2023,L,90683401,SR02023000000274,TRY,490.00,0.00,"19,600.00","19,600.00","3,920.00",490.00,"19,600.00",16.23,649.37,18.22,728.72,14.11,564.35,"1,764,000",90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,VARDAR2023,Z090,0000015449,7/17/2023,M,,,,,,0001250977,BAGNOTTİ,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,"23,520.00",21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,396.58,"15,863.20",384.76,"15,390.40"
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,10,3035TXS110H,ETAJERLİ LAVABO (46x80),308.000,Z100,Serel Yİ Satış,,15464,ZT01,Serel Yurtiçi Tesl.,80207887,16732,,7/20/2023,Z100,Serel Yİ Satış,7/20/2023,L,90683399,SR02023000000272,TRY,588.00,0.00,"181,104.00","181,104.00","36,220.80",588.00,"181,104.00",19.48,"6,000.20",21.86,"6,733.42",16.93,"5,214.63","16,299,360",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2023,Z090,0000015464,7/18/2023,M,,,,,,0001250975,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,"217,324.80",21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,504.04,"155,244.32",488.87,"150,571.96"
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,TR,Manisa,YUNUSEMRE,10,3035TXS110H,ETAJERLİ LAVABO (46x80),84.000,Z100,Serel Yİ Satış,,15464,ZT01,Serel Yurtiçi Tesl.,80208169,16738,,7/31/2023,Z100,Serel Yİ Satış,7/31/2023,L,90685766,SR12023000002437,TRY,588.00,0.00,"49,392.00","49,392.00","9,878.40",588.00,"49,392.00",19.89,"1,670.34",21.83,"1,833.45",17.06,"1,432.73","4,445,280",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2023,Z090,0000015464,7/18/2023,M,,,,,,0001255803,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,"59,270.40",21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,504.04,"42,339.36",488.87,"41,065.08"
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,20,3035TXS110H,ETAJERLİ LAVABO (46x80),448.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80206215,16640,,7/6/2023,Z100,Serel Yİ Satış,7/6/2023,L,90679836,SR12023000002104,TRY,588.00,0.00,"263,424.00","263,424.00","47,416.32",588.00,"263,424.00",20.74,"9,291.26",22.57,"10,113.26",17.80,"7,972.57","23,708,160",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001245574,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,20,M,"310,840.32",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,504.04,"225,809.92",488.87,"219,013.76"
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,TR,Manisa,YUNUSEMRE,10,3035TXS110H,ETAJERLİ LAVABO (46x80),28.000,Z100,Serel Yİ Satış,,15464,ZT01,Serel Yurtiçi Tesl.,80207890,16732,,7/20/2023,Z100,Serel Yİ Satış,7/20/2023,L,90683400,SR02023000000273,TRY,588.00,0.00,"16,464.00","16,464.00","3,292.80",588.00,"16,464.00",19.48,545.47,21.86,612.13,16.93,474.06,"1,481,760",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2023,Z090,0000015464,7/18/2023,M,,,,,,0001250976,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,"19,756.80",21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,504.04,"14,113.12",488.87,"13,688.36"
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,20,3037TXS110H,ETAJERLİ LAVABO (46x100),120.000,Z100,Serel Yİ Satış,,15449,ZT01,Serel Yurtiçi Tesl.,80207649,16716,,7/18/2023,Z100,Serel Yİ Satış,7/18/2023,L,90683066,SR12023000002264,TRY,689.00,0.00,"82,680.00","82,680.00","16,536.00",689.00,"82,680.00",23.37,"2,803.97",26.26,"3,151.06",20.10,"2,411.45","7,441,200",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2023,Z090,0000015449,7/17/2023,M,,,,,,0001250264,BAGNOTTİ,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,20,M,"99,216.00",21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,740.50,"88,860.00",712.28,"85,473.60"
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,30,3037TXS110H,ETAJERLİ LAVABO (46x100),48.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80206215,16640,,7/6/2023,Z100,Serel Yİ Satış,7/6/2023,L,90679836,SR12023000002104,TRY,689.00,0.00,"33,072.00","33,072.00","5,952.96",689.00,"33,072.00",24.30,"1,166.49",26.45,"1,269.69",20.85,"1,000.93","2,976,480",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001245574,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,30,M,"39,024.96",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,740.50,"35,544.00",712.28,"34,189.44"
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,30,3037TXS110H,ETAJERLİ LAVABO (46x100),336.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80206218,16641,,7/6/2023,Z100,Serel Yİ Satış,7/6/2023,L,90679837,SR12023000002105,TRY,689.00,0.00,"231,504.00","231,504.00","41,670.72",689.00,"231,504.00",24.30,"8,165.41",26.45,"8,887.80",20.85,"7,006.50","20,835,360",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001245575,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,30,M,"273,174.72",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,740.50,"248,808.00",712.28,"239,326.08"
